           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   1.000000E+02   1.785105E+01   1.785105E+01   1.428084E+01   6.104849E+00   4.709240E+00   1.156184E+00         1
   1.074441E-01   1.074441E-01   9.995600E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.105089E+00   4.708756E+00   1.157179E+00         1
   2.148882E-01   2.148882E-01   9.919608E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.109672E+00   4.701745E+00   1.172590E+00         1
   3.223323E-01   3.223323E-01   9.840786E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.113995E+00   4.695699E+00   1.185825E+00         1
   4.297763E-01   4.297763E-01   9.758145E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.118210E+00   4.689757E+00   1.198720E+00         1
   5.372204E-01   5.372204E-01   9.671520E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.122536E+00   4.683479E+00   1.212197E+00         1
   6.446645E-01   6.446645E-01   9.580701E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.126954E+00   4.676570E+00   1.226831E+00         1
   7.521086E-01   7.521086E-01   9.485458E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.131471E+00   4.670289E+00   1.242995E+00         1
   8.595527E-01   8.595527E-01   9.385587E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.136143E+00   4.662788E+00   1.261005E+00         1
   9.669968E-01   9.669968E-01   9.280918E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.141068E+00   4.654147E+00   1.281393E+00         1
   1.074441E+00   1.074441E+00   9.171457E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.146128E+00   4.644292E+00   1.304333E+00         1
   1.181885E+00   1.181885E+00   9.057395E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.151570E+00   4.633005E+00   1.330385E+00         1
   1.289329E+00   1.289329E+00   8.939229E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.157273E+00   4.620478E+00   1.358994E+00         1
   1.396773E+00   1.396773E+00   8.817577E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.163363E+00   4.607110E+00   1.389039E+00         1
   1.504217E+00   1.504217E+00   8.693208E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.169999E+00   4.592374E+00   1.421976E+00         1
   1.611661E+00   1.611661E+00   8.567567E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.177104E+00   4.574691E+00   1.460987E+00         1
   1.719105E+00   1.719105E+00   8.443356E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.184863E+00   4.553867E+00   1.506478E+00         1
   1.826549E+00   1.826549E+00   8.324203E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.193453E+00   4.529148E+00   1.560072E+00         1
   1.933994E+00   1.933994E+00   8.215314E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.203050E+00   4.499555E+00   1.623501E+00         1
   2.041438E+00   2.041438E+00   8.122611E+01   1.785105E+01   1.785105E+01   1.428084E+01   6.213800E+00   4.462944E+00   1.703964E+00         1
