           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   2.000000E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.570157E+00   4.537743E+00   7.319464E-01         1
   4.744442E-01   4.744442E-01   1.999587E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.572974E+00   4.536827E+00   7.351856E-01         1
   9.488883E-01   9.488883E-01   1.997713E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.589087E+00   4.533207E+00   7.504840E-01         1
   1.423332E+00   1.423332E+00   1.995781E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.605169E+00   4.530792E+00   7.633569E-01         1
   1.897777E+00   1.897777E+00   1.993692E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.621535E+00   4.528658E+00   7.758045E-01         1
   2.372221E+00   2.372221E+00   1.991426E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.638380E+00   4.526526E+00   7.884908E-01         1
   2.846665E+00   2.846665E+00   1.988953E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.655813E+00   4.524210E+00   8.018413E-01         1
   3.321109E+00   3.321109E+00   1.986259E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.673927E+00   4.521566E+00   8.161863E-01         1
   3.795553E+00   3.795553E+00   1.983309E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.692797E+00   4.518416E+00   8.319190E-01         1
   4.269997E+00   4.269997E+00   1.980092E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.712478E+00   4.514596E+00   8.494020E-01         1
   4.744442E+00   4.744442E+00   1.976588E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.733075E+00   4.509905E+00   8.690804E-01         1
   5.218886E+00   5.218886E+00   1.972776E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.754725E+00   4.504080E+00   8.915572E-01         1
   5.693330E+00   5.693330E+00   1.968650E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.777529E+00   4.496664E+00   9.177912E-01         1
   6.167774E+00   6.167774E+00   1.964265E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.801621E+00   4.487108E+00   9.489473E-01         1
   6.642218E+00   6.642218E+00   1.959716E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.827180E+00   4.474518E+00   9.869079E-01         1
   7.116662E+00   7.116662E+00   1.955243E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.854447E+00   4.457443E+00   1.034690E+00         1
   7.591107E+00   7.591107E+00   1.951243E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.883848E+00   4.433127E+00   1.098022E+00         1
   8.065551E+00   8.065551E+00   1.947940E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.910668E+00   4.412158E+00   1.153371E+00         1
   8.539995E+00   8.539995E+00   1.940735E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.938433E+00   4.386201E+00   1.219169E+00         1
   9.014439E+00   9.014439E+00   1.926486E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.967973E+00   4.350266E+00   1.305808E+00         1
   9.019184E+00   9.019184E+00   1.926294E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.968282E+00   4.349840E+00   1.306815E+00         1
   9.023928E+00   9.023928E+00   1.926101E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.968592E+00   4.349414E+00   1.307821E+00         1
   9.028672E+00   9.028672E+00   1.925904E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.968903E+00   4.348984E+00   1.308838E+00         1
   9.033417E+00   9.033417E+00   1.925706E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.969213E+00   4.348553E+00   1.309855E+00         1
   9.038161E+00   9.038161E+00   1.925509E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.969523E+00   4.348122E+00   1.310872E+00         1
   9.042906E+00   9.042906E+00   1.925311E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.969834E+00   4.347691E+00   1.311889E+00         1
   9.047650E+00   9.047650E+00   1.925110E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.970144E+00   4.347256E+00   1.312914E+00         1
   9.052395E+00   9.052395E+00   1.924909E+01   8.296787E+00   8.296787E+00   5.874703E+00   4.970455E+00   4.346822E+00   1.313939E+00         1
