           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   6.000000E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.707071E+00   4.682751E+00   1.010390E+00         1
   1.757026E-01   1.757026E-01   5.990191E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.710023E+00   4.680673E+00   1.016017E+00         1
   3.514053E-01   3.514053E-01   5.955507E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.719601E+00   4.675341E+00   1.031473E+00         1
   5.271079E-01   5.271079E-01   5.918557E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.728968E+00   4.670961E+00   1.044915E+00         1
   7.028105E-01   7.028105E-01   5.879245E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.738405E+00   4.666665E+00   1.058227E+00         1
   8.785131E-01   8.785131E-01   5.837406E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.747956E+00   4.662016E+00   1.072302E+00         1
   1.054216E+00   1.054216E+00   5.792833E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.757816E+00   4.656774E+00   1.087713E+00         1
   1.229918E+00   1.229918E+00   5.745292E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.767909E+00   4.650667E+00   1.104975E+00         1
   1.405621E+00   1.405621E+00   5.694542E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.778298E+00   4.643432E+00   1.124643E+00         1
   1.581324E+00   1.581324E+00   5.640333E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.789297E+00   4.634763E+00   1.147477E+00         1
   1.757026E+00   1.757026E+00   5.582498E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.800682E+00   4.624216E+00   1.174262E+00         1
   1.932729E+00   1.932729E+00   5.521024E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.812553E+00   4.611244E+00   1.206121E+00         1
   2.108432E+00   2.108432E+00   5.456241E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.825176E+00   4.595026E+00   1.244832E+00         1
   2.284134E+00   2.284134E+00   5.389045E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.838892E+00   4.574330E+00   1.293067E+00         1
   2.459837E+00   2.459837E+00   5.321548E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.853740E+00   4.547501E+00   1.354155E+00         1
   2.635539E+00   2.635539E+00   5.257782E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.870015E+00   4.512063E+00   1.433207E+00         1
   2.811242E+00   2.811242E+00   5.204216E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.888068E+00   4.464109E+00   1.538169E+00         1
   2.986945E+00   2.986945E+00   5.091175E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.904858E+00   4.390305E+00   1.692982E+00         1
   3.162647E+00   3.162647E+00   4.759586E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.917581E+00   4.232916E+00   2.014147E+00         1
   3.338350E+00   3.338350E+00   4.390987E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.935210E+00   4.103843E+00   2.281136E+00         1
   3.340107E+00   3.340107E+00   4.386770E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.935392E+00   4.104046E+00   2.280818E+00         1
   3.341864E+00   3.341864E+00   4.382553E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.935574E+00   4.104250E+00   2.280501E+00         1
   3.343621E+00   3.343621E+00   4.378336E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.935756E+00   4.104426E+00   2.280241E+00         1
   3.345378E+00   3.345378E+00   4.374112E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.935937E+00   4.104182E+00   2.280818E+00         1
   3.347135E+00   3.347135E+00   4.369888E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.936118E+00   4.103939E+00   2.281395E+00         1
   3.348892E+00   3.348892E+00   4.365665E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.936300E+00   4.103696E+00   2.281972E+00         1
   3.350649E+00   3.350649E+00   4.361430E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.936480E+00   4.103347E+00   2.282761E+00         1
   3.352406E+00   3.352406E+00   4.357174E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.936659E+00   4.102784E+00   2.283976E+00         1
   3.354163E+00   3.354163E+00   4.352917E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.936837E+00   4.102222E+00   2.285191E+00         1
   3.355920E+00   3.355920E+00   4.348661E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.937015E+00   4.101659E+00   2.286406E+00         1
   3.357677E+00   3.357677E+00   4.344376E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.937194E+00   4.100981E+00   2.287852E+00         1
   3.359434E+00   3.359434E+00   4.340071E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.937373E+00   4.100223E+00   2.289458E+00         1
   3.361191E+00   3.361191E+00   4.335765E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.937551E+00   4.099465E+00   2.291063E+00         1
   3.362948E+00   3.362948E+00   4.331460E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.937730E+00   4.098707E+00   2.292669E+00         1
   3.364705E+00   3.364705E+00   4.327118E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.937911E+00   4.098373E+00   2.293428E+00         1
   3.366462E+00   3.366462E+00   4.322771E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.938092E+00   4.098108E+00   2.294049E+00         1
   3.368219E+00   3.368219E+00   4.318423E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.938273E+00   4.097843E+00   2.294671E+00         1
   3.369976E+00   3.369976E+00   4.314074E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.938455E+00   4.097616E+00   2.295215E+00         1
   3.371733E+00   3.371733E+00   4.309712E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.938636E+00   4.097667E+00   2.295205E+00         1
   3.373490E+00   3.373490E+00   4.305350E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.938817E+00   4.097717E+00   2.295196E+00         1
   3.375247E+00   3.375247E+00   4.300987E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.938999E+00   4.097767E+00   2.295187E+00         1
   3.377004E+00   3.377004E+00   4.296628E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.939182E+00   4.098037E+00   2.294740E+00         1
   3.378762E+00   3.378762E+00   4.292273E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.939369E+00   4.098649E+00   2.293608E+00         1
   3.380519E+00   3.380519E+00   4.287918E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.939556E+00   4.099261E+00   2.292477E+00         1
   3.382276E+00   3.382276E+00   4.283563E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.939742E+00   4.099874E+00   2.291346E+00         1
   3.384033E+00   3.384033E+00   4.279243E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.939931E+00   4.101102E+00   2.288983E+00         1
   3.385790E+00   3.385790E+00   4.274942E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.940121E+00   4.102650E+00   2.285983E+00         1
   3.387547E+00   3.387547E+00   4.270641E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.940310E+00   4.104198E+00   2.282983E+00         1
   3.389304E+00   3.389304E+00   4.266339E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.940500E+00   4.105745E+00   2.279983E+00         1
   3.391061E+00   3.391061E+00   4.262130E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.940694E+00   4.107661E+00   2.276249E+00         1
   3.392818E+00   3.392818E+00   4.257927E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.940888E+00   4.109605E+00   2.272459E+00         1
   3.394575E+00   3.394575E+00   4.253724E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.941083E+00   4.111550E+00   2.268668E+00         1
   3.396332E+00   3.396332E+00   4.249539E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.941278E+00   4.113373E+00   2.265118E+00         1
   3.398089E+00   3.398089E+00   4.245427E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.941475E+00   4.114692E+00   2.262580E+00         1
   3.399846E+00   3.399846E+00   4.241315E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.941673E+00   4.116011E+00   2.260041E+00         1
   3.401603E+00   3.401603E+00   4.237203E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.941870E+00   4.117329E+00   2.257503E+00         1
   3.403360E+00   3.403360E+00   4.233110E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.942066E+00   4.118183E+00   2.255894E+00         1
   3.405117E+00   3.405117E+00   4.229039E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.942261E+00   4.118489E+00   2.255381E+00         1
   3.406874E+00   3.406874E+00   4.224969E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.942456E+00   4.118794E+00   2.254867E+00         1
   3.408631E+00   3.408631E+00   4.220898E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.942652E+00   4.119100E+00   2.254354E+00         1
   3.410388E+00   3.410388E+00   4.216806E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.942846E+00   4.118474E+00   2.255703E+00         1
   3.412145E+00   3.412145E+00   4.212706E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.943041E+00   4.117508E+00   2.257732E+00         1
   3.413902E+00   3.413902E+00   4.208606E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.943236E+00   4.116542E+00   2.259760E+00         1
   3.415659E+00   3.415659E+00   4.204508E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.943431E+00   4.115577E+00   2.261788E+00         1
   3.417416E+00   3.417416E+00   4.200329E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.943622E+00   4.114288E+00   2.264464E+00         1
   3.419173E+00   3.419173E+00   4.196151E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.943814E+00   4.112999E+00   2.267139E+00         1
   3.420930E+00   3.420930E+00   4.191974E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.944006E+00   4.111710E+00   2.269814E+00         1
   3.422687E+00   3.422687E+00   4.187767E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.944199E+00   4.110551E+00   2.272230E+00         1
   3.424444E+00   3.424444E+00   4.183475E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.944396E+00   4.109761E+00   2.273909E+00         1
   3.426201E+00   3.426201E+00   4.179183E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.944594E+00   4.108971E+00   2.275588E+00         1
   3.427958E+00   3.427958E+00   4.174892E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.944791E+00   4.108180E+00   2.277267E+00         1
   3.429715E+00   3.429715E+00   4.170569E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.944990E+00   4.107915E+00   2.277898E+00         1
   3.431472E+00   3.431472E+00   4.166220E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.945190E+00   4.108116E+00   2.277594E+00         1
   3.433229E+00   3.433229E+00   4.161870E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.945391E+00   4.108318E+00   2.277291E+00         1
   3.434986E+00   3.434986E+00   4.157521E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.945591E+00   4.108520E+00   2.276988E+00         1
   3.436743E+00   3.436743E+00   4.153197E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.945795E+00   4.109396E+00   2.275338E+00         1
   3.438500E+00   3.438500E+00   4.148880E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.946000E+00   4.110442E+00   2.273349E+00         1
   3.440257E+00   3.440257E+00   4.144563E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.946206E+00   4.111488E+00   2.271361E+00         1
   3.442014E+00   3.442014E+00   4.140249E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.946411E+00   4.112518E+00   2.269408E+00         1
   3.443771E+00   3.443771E+00   4.135981E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.946619E+00   4.113325E+00   2.267992E+00         1
   3.445528E+00   3.445528E+00   4.131714E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.946828E+00   4.114131E+00   2.266575E+00         1
   3.447286E+00   3.447286E+00   4.127446E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.947036E+00   4.114938E+00   2.265158E+00         1
   3.449043E+00   3.449043E+00   4.123187E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.947245E+00   4.115654E+00   2.263937E+00         1
   3.450800E+00   3.450800E+00   4.118944E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.947455E+00   4.116189E+00   2.263108E+00         1
   3.452557E+00   3.452557E+00   4.114701E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.947666E+00   4.116724E+00   2.262278E+00         1
   3.454314E+00   3.454314E+00   4.110458E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.947876E+00   4.117258E+00   2.261449E+00         1
   3.456071E+00   3.456071E+00   4.106217E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.948090E+00   4.117488E+00   2.261221E+00         1
   3.457828E+00   3.457828E+00   4.101979E+01   3.026384E+01   3.026384E+01   2.421107E+01   5.948306E+00   4.117511E+00   2.261403E+00         1
