           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   1.000000E+02   0.000000E+00   0.000000E+00   0.000000E+00   6.119761E+00   4.722462E+00   1.138215E+00         1
   1.510670E-01   1.510670E-01   9.880745E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.122484E+00   4.715763E+00   1.152975E+00         1
   3.021340E-01   3.021340E-01   9.755206E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.125714E+00   4.711147E+00   1.163822E+00         1
   4.532010E-01   4.532010E-01   9.622970E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.129254E+00   4.706807E+00   1.174272E+00         1
   6.042681E-01   6.042681E-01   9.483786E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.133115E+00   4.702322E+00   1.185172E+00         1
   7.553351E-01   7.553351E-01   9.337356E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.137243E+00   4.697483E+00   1.196913E+00         1
   9.064021E-01   9.064021E-01   9.182500E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.141685E+00   4.692186E+00   1.209730E+00         1
   1.057469E+00   1.057469E+00   9.018140E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.146512E+00   4.686274E+00   1.223967E+00         1
   1.208536E+00   1.208536E+00   8.843154E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.151791E+00   4.679830E+00   1.239495E+00         1
   1.359603E+00   1.359603E+00   8.656083E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.157611E+00   4.673393E+00   1.255278E+00         1
   1.510670E+00   1.510670E+00   8.456003E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.163996E+00   4.670308E+00   1.264634E+00         1
   1.661737E+00   1.661737E+00   8.241918E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.170789E+00   4.669485E+00   1.269684E+00         1
   1.812804E+00   1.812804E+00   8.011898E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.177891E+00   4.668516E+00   1.275144E+00         1
   1.963871E+00   1.963871E+00   7.763040E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.185391E+00   4.669024E+00   1.277907E+00         1
   2.114938E+00   2.114938E+00   7.493116E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.193379E+00   4.671429E+00   1.277089E+00         1
   2.266005E+00   2.266005E+00   7.198888E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.201891E+00   4.676445E+00   1.271299E+00         1
   2.417072E+00   2.417072E+00   6.879650E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.210811E+00   4.684745E+00   1.258954E+00         1
   2.568139E+00   2.568139E+00   6.263176E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.207687E+00   4.725610E+00   1.175006E+00         1
   2.719206E+00   2.719206E+00   5.054065E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.136224E+00   4.797498E+00   9.944518E-01         1
   2.870273E+00   2.870273E+00   3.892199E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.011612E+00   4.807018E+00   9.159935E-01         1
   2.871784E+00   2.871784E+00   3.882018E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.010389E+00   4.807124E+00   9.151721E-01         1
   2.873295E+00   2.873295E+00   3.871838E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.009166E+00   4.807230E+00   9.143506E-01         1
   2.874805E+00   2.874805E+00   3.861779E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.007942E+00   4.807338E+00   9.135235E-01         1
   2.876316E+00   2.876316E+00   3.851795E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.006717E+00   4.807446E+00   9.126930E-01         1
   2.877827E+00   2.877827E+00   3.841810E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.005492E+00   4.807555E+00   9.118625E-01         1
   2.879337E+00   2.879337E+00   3.831826E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.004266E+00   4.807663E+00   9.110319E-01         1
   2.880848E+00   2.880848E+00   3.821841E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.003041E+00   4.807772E+00   9.102014E-01         1
   2.882359E+00   2.882359E+00   3.811856E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.001816E+00   4.807881E+00   9.093709E-01         1
   2.883869E+00   2.883869E+00   3.801872E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.000591E+00   4.807989E+00   9.085403E-01         1
   2.885380E+00   2.885380E+00   3.791887E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.999366E+00   4.808098E+00   9.077098E-01         1
   2.886891E+00   2.886891E+00   3.781944E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.998141E+00   4.808208E+00   9.068763E-01         1
   2.888401E+00   2.888401E+00   3.772203E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.996918E+00   4.808327E+00   9.060284E-01         1
   2.889912E+00   2.889912E+00   3.762461E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.995694E+00   4.808446E+00   9.051805E-01         1
   2.891423E+00   2.891423E+00   3.752720E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.994471E+00   4.808564E+00   9.043327E-01         1
   2.892933E+00   2.892933E+00   3.742979E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.993248E+00   4.808683E+00   9.034848E-01         1
   2.894444E+00   2.894444E+00   3.733237E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.992024E+00   4.808802E+00   9.026369E-01         1
   2.895955E+00   2.895955E+00   3.723496E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.990801E+00   4.808920E+00   9.017890E-01         1
   2.897465E+00   2.897465E+00   3.713755E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.989577E+00   4.809039E+00   9.009411E-01         1
   2.898976E+00   2.898976E+00   3.704013E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.988354E+00   4.809158E+00   9.000932E-01         1
   2.900487E+00   2.900487E+00   3.694421E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.987128E+00   4.809294E+00   8.992114E-01         1
   2.901997E+00   2.901997E+00   3.684880E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.985902E+00   4.809436E+00   8.983182E-01         1
   2.903508E+00   2.903508E+00   3.675339E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.984675E+00   4.809578E+00   8.974250E-01         1
   2.905019E+00   2.905019E+00   3.665797E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.983449E+00   4.809721E+00   8.965317E-01         1
   2.906529E+00   2.906529E+00   3.656256E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.982222E+00   4.809863E+00   8.956385E-01         1
   2.908040E+00   2.908040E+00   3.646715E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.980996E+00   4.810005E+00   8.947453E-01         1
   2.909551E+00   2.909551E+00   3.637173E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.979769E+00   4.810147E+00   8.938521E-01         1
   2.911061E+00   2.911061E+00   3.627632E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.978543E+00   4.810289E+00   8.929589E-01         1
   2.912572E+00   2.912572E+00   3.618164E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.977314E+00   4.810443E+00   8.920433E-01         1
   2.914083E+00   2.914083E+00   3.608798E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.976082E+00   4.810612E+00   8.910970E-01         1
   2.915593E+00   2.915593E+00   3.599432E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.974850E+00   4.810782E+00   8.901507E-01         1
   2.917104E+00   2.917104E+00   3.590066E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.973618E+00   4.810951E+00   8.892043E-01         1
   2.918615E+00   2.918615E+00   3.580700E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.972386E+00   4.811120E+00   8.882580E-01         1
   2.920125E+00   2.920125E+00   3.571334E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.971154E+00   4.811289E+00   8.873117E-01         1
   2.921636E+00   2.921636E+00   3.561968E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.969922E+00   4.811459E+00   8.863654E-01         1
   2.923147E+00   2.923147E+00   3.552601E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.968690E+00   4.811628E+00   8.854191E-01         1
   2.924657E+00   2.924657E+00   3.543266E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.967456E+00   4.811806E+00   8.844546E-01         1
   2.926168E+00   2.926168E+00   3.534032E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.966212E+00   4.812015E+00   8.834295E-01         1
   2.927679E+00   2.927679E+00   3.524798E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.964969E+00   4.812223E+00   8.824044E-01         1
   2.929189E+00   2.929189E+00   3.515564E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.963726E+00   4.812431E+00   8.813793E-01         1
   2.930700E+00   2.930700E+00   3.506330E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.962483E+00   4.812640E+00   8.803542E-01         1
   2.932211E+00   2.932211E+00   3.497096E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.961239E+00   4.812848E+00   8.793291E-01         1
   2.933721E+00   2.933721E+00   3.487862E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.959996E+00   4.813056E+00   8.783040E-01         1
   2.935232E+00   2.935232E+00   3.478628E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.958753E+00   4.813265E+00   8.772789E-01         1
