           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   2.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.217887E+00   3.961866E+00   2.084704E-01         1
   5.207015E+01   5.207015E+01   1.999976E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.224592E+00   3.958838E+00   2.178785E-01         1
   1.041403E+02   1.041403E+02   1.999952E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.232305E+00   3.955982E+00   2.274467E-01         1
   1.562104E+02   1.562104E+02   1.999926E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.240559E+00   3.953146E+00   2.372453E-01         1
   2.082806E+02   2.082806E+02   1.999898E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.249242E+00   3.950256E+00   2.473689E-01         1
   2.603507E+02   2.603507E+02   1.999869E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.258243E+00   3.947248E+00   2.578838E-01         1
   3.124209E+02   3.124209E+02   1.999838E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.267495E+00   3.944075E+00   2.688572E-01         1
   3.644910E+02   3.644910E+02   1.999806E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.276964E+00   3.940665E+00   2.804110E-01         1
   4.165612E+02   4.165612E+02   1.999771E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.286633E+00   3.936953E+00   2.926690E-01         1
   4.686313E+02   4.686313E+02   1.999734E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.296479E+00   3.932856E+00   3.057861E-01         1
   5.207015E+02   5.207015E+02   1.999695E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.306456E+00   3.928263E+00   3.199618E-01         1
   5.727716E+02   5.727716E+02   1.999652E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.316509E+00   3.923037E+00   3.354393E-01         1
   6.248418E+02   6.248418E+02   1.999606E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.326521E+00   3.917063E+00   3.523944E-01         1
   6.769119E+02   6.769119E+02   1.999557E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.336264E+00   3.910312E+00   3.707669E-01         1
   7.289820E+02   7.289820E+02   1.999503E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.345555E+00   3.902577E+00   3.908822E-01         1
   7.810522E+02   7.810522E+02   1.999444E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.354243E+00   3.893526E+00   4.133278E-01         1
   8.331223E+02   8.331223E+02   1.999381E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.362020E+00   3.882720E+00   4.388280E-01         1
   8.851925E+02   8.851925E+02   1.999312E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.368405E+00   3.869586E+00   4.682893E-01         1
   9.372626E+02   9.372626E+02   1.999238E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.373075E+00   3.854007E+00   5.017820E-01         1
   9.893328E+02   9.893328E+02   1.999157E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377448E+00   3.836947E+00   5.380883E-01         1
   9.898535E+02   9.898535E+02   1.999156E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377515E+00   3.836783E+00   5.384512E-01         1
   9.903742E+02   9.903742E+02   1.999155E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377583E+00   3.836618E+00   5.388142E-01         1
   9.908949E+02   9.908949E+02   1.999154E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377650E+00   3.836453E+00   5.391772E-01         1
   9.914156E+02   9.914156E+02   1.999153E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377718E+00   3.836289E+00   5.395402E-01         1
   9.919363E+02   9.919363E+02   1.999153E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377785E+00   3.836124E+00   5.399032E-01         1
   9.924570E+02   9.924570E+02   1.999152E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377852E+00   3.835959E+00   5.402662E-01         1
   9.929777E+02   9.929777E+02   1.999151E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377920E+00   3.835795E+00   5.406291E-01         1
   9.934984E+02   9.934984E+02   1.999150E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.377987E+00   3.835630E+00   5.409921E-01         1
   9.940191E+02   9.940191E+02   1.999149E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378055E+00   3.835466E+00   5.413551E-01         1
   9.945398E+02   9.945398E+02   1.999148E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378143E+00   3.835312E+00   5.417072E-01         1
   9.950605E+02   9.950605E+02   1.999147E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378236E+00   3.835160E+00   5.420565E-01         1
   9.955812E+02   9.955812E+02   1.999146E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378329E+00   3.835009E+00   5.424059E-01         1
   9.961019E+02   9.961019E+02   1.999146E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378422E+00   3.834857E+00   5.427553E-01         1
   9.966226E+02   9.966226E+02   1.999145E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378515E+00   3.834706E+00   5.431047E-01         1
   9.971433E+02   9.971433E+02   1.999144E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378609E+00   3.834555E+00   5.434541E-01         1
   9.976640E+02   9.976640E+02   1.999143E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378702E+00   3.834403E+00   5.438034E-01         1
   9.981847E+02   9.981847E+02   1.999142E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378795E+00   3.834252E+00   5.441528E-01         1
   9.987054E+02   9.987054E+02   1.999141E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378888E+00   3.834100E+00   5.445022E-01         1
   9.992261E+02   9.992261E+02   1.999140E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.378981E+00   3.833949E+00   5.448516E-01         1
   9.997468E+02   9.997468E+02   1.999139E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379074E+00   3.833798E+00   5.452009E-01         1
   1.000268E+03   1.000268E+03   1.999138E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379198E+00   3.833664E+00   5.455306E-01         1
   1.000788E+03   1.000788E+03   1.999138E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379336E+00   3.833537E+00   5.458517E-01         1
   1.001309E+03   1.001309E+03   1.999137E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379473E+00   3.833411E+00   5.461728E-01         1
   1.001830E+03   1.001830E+03   1.999136E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379610E+00   3.833285E+00   5.464938E-01         1
   1.002350E+03   1.002350E+03   1.999135E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379747E+00   3.833159E+00   5.468149E-01         1
   1.002871E+03   1.002871E+03   1.999134E+00   0.000000E+00   0.000000E+00   0.000000E+00   1.379885E+00   3.833033E+00   5.471360E-01         1
