           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   7.800000E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.935576E+00   4.704979E+00   1.081088E+00         1
   1.637251E-01   1.637251E-01   7.724946E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.940003E+00   4.698957E+00   1.095346E+00         1
   3.274502E-01   3.274502E-01   7.646161E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.944869E+00   4.694740E+00   1.106213E+00         1
   4.911752E-01   4.911752E-01   7.563318E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.950007E+00   4.690809E+00   1.116643E+00         1
   6.549003E-01   6.549003E-01   7.476152E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.955426E+00   4.686774E+00   1.127424E+00         1
   8.186254E-01   8.186254E-01   7.384313E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.961075E+00   4.682409E+00   1.138978E+00         1
   9.823505E-01   9.823505E-01   7.287299E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.966991E+00   4.677550E+00   1.151655E+00         1
   1.146076E+00   1.146076E+00   7.184610E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.973243E+00   4.672052E+00   1.165776E+00         1
   1.309801E+00   1.309801E+00   7.075526E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.979915E+00   4.665720E+00   1.181778E+00         1
   1.473526E+00   1.473526E+00   6.959381E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.987090E+00   4.658389E+00   1.200027E+00         1
   1.637251E+00   1.637251E+00   6.835429E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.994884E+00   4.649836E+00   1.221029E+00         1
   1.800976E+00   1.800976E+00   6.702581E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.003457E+00   4.639833E+00   1.245321E+00         1
   1.964701E+00   1.964701E+00   6.560224E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.012775E+00   4.628552E+00   1.272787E+00         1
   2.128426E+00   2.128426E+00   6.407001E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.022965E+00   4.619084E+00   1.296535E+00         1
   2.292151E+00   2.292151E+00   6.238769E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.034163E+00   4.613185E+00   1.314052E+00         1
   2.455876E+00   2.455876E+00   6.056968E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.046328E+00   4.607819E+00   1.330728E+00         1
   2.619601E+00   2.619601E+00   5.857577E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.059662E+00   4.603026E+00   1.347128E+00         1
   2.783326E+00   2.783326E+00   5.646192E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.074384E+00   4.600026E+00   1.360399E+00         1
   2.947051E+00   2.947051E+00   5.383319E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.090424E+00   4.601612E+00   1.365248E+00         1
   3.110776E+00   3.110776E+00   4.979552E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.105426E+00   4.636726E+00   1.302520E+00         1
   3.112414E+00   3.112414E+00   4.973677E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.105525E+00   4.637519E+00   1.300983E+00         1
   3.114051E+00   3.114051E+00   4.967801E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.105625E+00   4.638312E+00   1.299446E+00         1
   3.115688E+00   3.115688E+00   4.961926E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.105724E+00   4.639106E+00   1.297909E+00         1
   3.117326E+00   3.117326E+00   4.956051E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.105823E+00   4.639899E+00   1.296372E+00         1
   3.118963E+00   3.118963E+00   4.950163E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.105922E+00   4.640697E+00   1.294827E+00         1
   3.120600E+00   3.120600E+00   4.944172E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106015E+00   4.641527E+00   1.293212E+00         1
   3.122237E+00   3.122237E+00   4.938181E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106109E+00   4.642358E+00   1.291597E+00         1
   3.123875E+00   3.123875E+00   4.932191E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106202E+00   4.643189E+00   1.289983E+00         1
   3.125512E+00   3.125512E+00   4.926200E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106296E+00   4.644019E+00   1.288368E+00         1
   3.127149E+00   3.127149E+00   4.920209E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106389E+00   4.644850E+00   1.286754E+00         1
   3.128786E+00   3.128786E+00   4.914182E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106478E+00   4.645683E+00   1.285133E+00         1
   3.130424E+00   3.130424E+00   4.908150E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106566E+00   4.646516E+00   1.283511E+00         1
   3.132061E+00   3.132061E+00   4.902117E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106655E+00   4.647349E+00   1.281889E+00         1
   3.133698E+00   3.133698E+00   4.896085E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106743E+00   4.648182E+00   1.280267E+00         1
   3.135335E+00   3.135335E+00   4.890052E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106831E+00   4.649015E+00   1.278645E+00         1
   3.136973E+00   3.136973E+00   4.883941E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.106918E+00   4.649902E+00   1.276877E+00         1
   3.138610E+00   3.138610E+00   4.877793E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107005E+00   4.650815E+00   1.275039E+00         1
   3.140247E+00   3.140247E+00   4.871645E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107091E+00   4.651729E+00   1.273202E+00         1
   3.141884E+00   3.141884E+00   4.865498E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107177E+00   4.652642E+00   1.271364E+00         1
   3.143522E+00   3.143522E+00   4.859350E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107264E+00   4.653555E+00   1.269526E+00         1
   3.145159E+00   3.145159E+00   4.854039E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107340E+00   4.654378E+00   1.267898E+00         1
   3.146796E+00   3.146796E+00   4.849202E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107412E+00   4.655150E+00   1.266388E+00         1
   3.148433E+00   3.148433E+00   4.844366E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107483E+00   4.655922E+00   1.264878E+00         1
   3.150071E+00   3.150071E+00   4.839529E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107555E+00   4.656694E+00   1.263367E+00         1
   3.151708E+00   3.151708E+00   4.834692E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107626E+00   4.657465E+00   1.261857E+00         1
   3.153345E+00   3.153345E+00   4.829856E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107698E+00   4.658237E+00   1.260347E+00         1
   3.154982E+00   3.154982E+00   4.825088E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107767E+00   4.659001E+00   1.258851E+00         1
   3.156620E+00   3.156620E+00   4.820553E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107829E+00   4.659739E+00   1.257404E+00         1
   3.158257E+00   3.158257E+00   4.816019E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107892E+00   4.660477E+00   1.255957E+00         1
   3.159894E+00   3.159894E+00   4.811484E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.107954E+00   4.661215E+00   1.254510E+00         1
   3.161531E+00   3.161531E+00   4.806949E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108017E+00   4.661952E+00   1.253063E+00         1
   3.163169E+00   3.163169E+00   4.802414E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108079E+00   4.662690E+00   1.251616E+00         1
   3.164806E+00   3.164806E+00   4.797879E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108142E+00   4.663428E+00   1.250169E+00         1
   3.166443E+00   3.166443E+00   4.793530E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108202E+00   4.664139E+00   1.248774E+00         1
   3.168080E+00   3.168080E+00   4.789392E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108259E+00   4.664821E+00   1.247438E+00         1
   3.169718E+00   3.169718E+00   4.785254E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108316E+00   4.665502E+00   1.246102E+00         1
   3.171355E+00   3.171355E+00   4.781116E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108373E+00   4.666183E+00   1.244766E+00         1
   3.172992E+00   3.172992E+00   4.776979E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108430E+00   4.666865E+00   1.243430E+00         1
   3.174629E+00   3.174629E+00   4.772841E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108487E+00   4.667546E+00   1.242094E+00         1
   3.176267E+00   3.176267E+00   4.768703E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108544E+00   4.668227E+00   1.240758E+00         1
   3.177904E+00   3.177904E+00   4.764515E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108602E+00   4.668918E+00   1.239404E+00         1
   3.179541E+00   3.179541E+00   4.759760E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108662E+00   4.669713E+00   1.237843E+00         1
   3.181178E+00   3.181178E+00   4.755004E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108723E+00   4.670508E+00   1.236282E+00         1
   3.182816E+00   3.182816E+00   4.750249E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108784E+00   4.671303E+00   1.234721E+00         1
   3.184453E+00   3.184453E+00   4.745494E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108844E+00   4.672099E+00   1.233159E+00         1
   3.186090E+00   3.186090E+00   4.740738E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108905E+00   4.672894E+00   1.231598E+00         1
   3.187727E+00   3.187727E+00   4.735983E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.108966E+00   4.673689E+00   1.230037E+00         1
   3.189365E+00   3.189365E+00   4.730330E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109034E+00   4.674629E+00   1.228191E+00         1
   3.191002E+00   3.191002E+00   4.724282E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109106E+00   4.675632E+00   1.226220E+00         1
   3.192639E+00   3.192639E+00   4.718235E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109178E+00   4.676636E+00   1.224249E+00         1
   3.194276E+00   3.194276E+00   4.712188E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109250E+00   4.677639E+00   1.222278E+00         1
   3.195914E+00   3.195914E+00   4.706141E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109322E+00   4.678642E+00   1.220307E+00         1
   3.197551E+00   3.197551E+00   4.699823E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109390E+00   4.679689E+00   1.218249E+00         1
   3.199188E+00   3.199188E+00   4.693294E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109455E+00   4.680768E+00   1.216123E+00         1
   3.200825E+00   3.200825E+00   4.686766E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109519E+00   4.681848E+00   1.213998E+00         1
   3.202463E+00   3.202463E+00   4.680238E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109584E+00   4.682927E+00   1.211873E+00         1
   3.204100E+00   3.204100E+00   4.673710E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109649E+00   4.684007E+00   1.209747E+00         1
   3.205737E+00   3.205737E+00   4.666973E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109706E+00   4.685157E+00   1.207481E+00         1
   3.207374E+00   3.207374E+00   4.660149E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109759E+00   4.686338E+00   1.205156E+00         1
   3.209012E+00   3.209012E+00   4.653325E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109812E+00   4.687518E+00   1.202831E+00         1
   3.210649E+00   3.210649E+00   4.646500E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109865E+00   4.688698E+00   1.200506E+00         1
   3.212286E+00   3.212286E+00   4.639594E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109906E+00   4.689904E+00   1.198130E+00         1
   3.213923E+00   3.213923E+00   4.632290E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109885E+00   4.691231E+00   1.195506E+00         1
   3.215561E+00   3.215561E+00   4.624985E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109865E+00   4.692559E+00   1.192882E+00         1
   3.217198E+00   3.217198E+00   4.617681E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109844E+00   4.693887E+00   1.190258E+00         1
   3.218835E+00   3.218835E+00   4.610336E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109823E+00   4.695227E+00   1.187608E+00         1
   3.220472E+00   3.220472E+00   4.602419E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109780E+00   4.696748E+00   1.184594E+00         1
   3.222110E+00   3.222110E+00   4.594501E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109737E+00   4.698270E+00   1.181580E+00         1
   3.223747E+00   3.223747E+00   4.586584E+01   0.000000E+00   0.000000E+00   0.000000E+00   6.109694E+00   4.699791E+00   1.178566E+00         1
   3.225384E+00   3.225384E+00   4.578380E+01   2.885790E-01   2.885790E-01   0.000000E+00   6.109639E+00   4.701412E+00   1.175353E+00         1
   3.227021E+00   3.227021E+00   4.569780E+01   9.741439E-01   9.741439E-01   0.000000E+00   6.109567E+00   4.703169E+00   1.171867E+00         1
   3.228659E+00   3.228659E+00   4.561181E+01   1.659709E+00   1.659709E+00   0.000000E+00   6.109495E+00   4.704926E+00   1.168381E+00         1
   3.230296E+00   3.230296E+00   4.552436E+01   2.464595E+00   2.464595E+00   0.000000E+00   6.109433E+00   4.706732E+00   1.164795E+00         1
   3.231933E+00   3.231933E+00   4.543195E+01   3.673915E+00   3.673915E+00   0.000000E+00   6.109406E+00   4.708709E+00   1.160873E+00         1
