           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   3.111111E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.126258E+00   4.611055E+00   8.642772E-01         1
   2.910386E-01   2.910386E-01   3.103181E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.137630E+00   4.605717E+00   8.806404E-01         1
   5.820772E-01   5.820772E-01   3.094829E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.149719E+00   4.602754E+00   8.926107E-01         1
   8.731158E-01   8.731158E-01   3.085944E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.162293E+00   4.600239E+00   9.039264E-01         1
   1.164154E+00   1.164154E+00   3.076479E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.175328E+00   4.597784E+00   9.153543E-01         1
   1.455193E+00   1.455193E+00   3.066375E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.188786E+00   4.595186E+00   9.272808E-01         1
   1.746232E+00   1.746232E+00   3.055566E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.202631E+00   4.592314E+00   9.399459E-01         1
   2.037270E+00   2.037270E+00   3.044001E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.216915E+00   4.589041E+00   9.536349E-01         1
   2.328309E+00   2.328309E+00   3.031615E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.231710E+00   4.585238E+00   9.686383E-01         1
   2.619347E+00   2.619347E+00   3.018325E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.247118E+00   4.580742E+00   9.853335E-01         1
   2.910386E+00   2.910386E+00   3.004071E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.263248E+00   4.575343E+00   1.004198E+00         1
   3.201424E+00   3.201424E+00   2.988801E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.280232E+00   4.568807E+00   1.025761E+00         1
   3.492463E+00   3.492463E+00   2.972448E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.298206E+00   4.560757E+00   1.050847E+00         1
   3.783502E+00   3.783502E+00   2.955022E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.317029E+00   4.550857E+00   1.080059E+00         1
   4.074540E+00   4.074540E+00   2.936629E+01   0.000000E+00   0.000000E+00   0.000000E+00   5.336926E+00   4.538502E+00   1.114717E+00         1
