           time            age           mass      core_mass        He_core        CO_core          log_L       log_Teff     log_radius     phase
   0.000000E+00   0.000000E+00   1.047129E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.826380E+00   4.416639E+00   6.031705E-01         1
   1.189258E+00   1.189258E+00   1.046636E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.839363E+00   4.413183E+00   6.165741E-01         1
   2.378515E+00   2.378515E+00   1.046088E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.853421E+00   4.411047E+00   6.278752E-01         1
   3.567773E+00   3.567773E+00   1.045499E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.868265E+00   4.409338E+00   6.387156E-01         1
   4.757031E+00   4.757031E+00   1.044866E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.883866E+00   4.407792E+00   6.496081E-01         1
   5.946288E+00   5.946288E+00   1.044182E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.900234E+00   4.406261E+00   6.608545E-01         1
   7.135546E+00   7.135546E+00   1.043439E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.917345E+00   4.404644E+00   6.726433E-01         1
   8.324804E+00   8.324804E+00   1.042630E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.935223E+00   4.402860E+00   6.851514E-01         1
   9.514062E+00   9.514062E+00   1.041678E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.953895E+00   4.400807E+00   6.985929E-01         1
   1.070332E+01   1.070332E+01   1.040404E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.973325E+00   4.398357E+00   7.132067E-01         1
   1.189258E+01   1.189258E+01   1.038919E+01   0.000000E+00   0.000000E+00   0.000000E+00   3.993778E+00   4.395421E+00   7.293061E-01         1
   1.308183E+01   1.308183E+01   1.037273E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.015550E+00   4.391833E+00   7.473685E-01         1
   1.427109E+01   1.427109E+01   1.035440E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.038843E+00   4.387389E+00   7.679021E-01         1
   1.546035E+01   1.546035E+01   1.033418E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.063877E+00   4.381815E+00   7.915677E-01         1
   1.664961E+01   1.664961E+01   1.031198E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.090492E+00   4.374866E+00   8.187729E-01         1
   1.783887E+01   1.783887E+01   1.028669E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.119077E+00   4.365922E+00   8.509535E-01         1
   1.902812E+01   1.902812E+01   1.025786E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.150259E+00   4.354045E+00   8.903177E-01         1
   2.021738E+01   2.021738E+01   1.022481E+01   0.000000E+00   0.000000E+00   0.000000E+00   4.184966E+00   4.337542E+00   9.413202E-01         1
